Open,High,Low,Close,MA 20,MA 20 close,STD 10 high,SMA_20,SMA_50,Close_Predictions,Command
9358.95,9422.0,9281.54,9294.69,9538.662499999995,9538.757000000001,60.26127068026378,9538.757000000001,9401.2066,9685.69,2
9294.69,9780.0,9277.09,9685.69,9523.934124999994,9547.139500000003,104.77420816212363,9547.139500000001,9417.0372,9624.89,2
9685.69,9720.0,9577.03,9624.89,9528.535874999996,9545.072000000004,120.97932455175975,9545.072,9432.0958,9296.49,2
9624.33,9670.0,9208.0,9296.49,9516.183499999996,9520.4435,125.3703318173802,9520.4435,9437.589,9249.49,2
9298.33,9340.0,9009.69,9249.49,9491.839249999994,9501.86,140.64565439429694,9501.86,9439.7204,9162.21,2
9249.49,9298.0,9045.45,9162.21,9469.359624999994,9476.655499999997,156.840671064619,9476.655499999999,9423.236599999998,9012.0,2
9162.21,9196.24,8833.0,9012.0,9439.548999999994,9439.905999999999,181.40777669107797,9439.905999999999,9407.4764,9116.35,2
9012.0,9191.0,8948.06,9116.35,9405.866624999997,9406.622999999998,200.1450470134098,9406.623,9399.0154,9192.56,2
9116.16,9238.0,9024.67,9192.56,9375.491124999997,9377.6295,209.6173017286503,9377.6295,9408.4112,9138.55,2
9192.93,9205.0,9064.89,9138.55,9341.079000000002,9340.306999999999,219.83931673838512,9340.306999999999,9419.9518,9232.0,2
9138.08,9292.0,9080.1,9232.0,9322.323500000002,9337.886999999999,222.3397157144895,9337.886999999999,9428.376,9086.54,2
9231.99,9261.96,8940.0,9086.54,9309.659125000004,9318.9575,183.01374134200967,9318.9575,9423.919399999999,9058.26,2
9086.54,9125.0,9037.47,9058.26,9291.199625000005,9298.203500000001,142.41298929521847,9298.2035,9409.245,9135.46,2
9057.79,9190.0,9040.04,9135.46,9277.222875000003,9287.871500000001,61.17662560161354,9287.8715,9405.625800000002,9069.41,2
9135.0,9145.24,8893.03,9069.41,9265.586750000002,9270.041000000001,54.92351175953697,9270.041000000001,9399.3886,9344.2,2
9069.41,9375.0,9055.92,9344.2,9252.22175,9260.971500000001,69.57042866045887,9260.9715,9392.6718,9257.39,2
9342.47,9379.42,9203.0,9257.39,9244.578750000002,9250.584000000003,83.17628818359233,9250.583999999999,9383.141,9436.06,2
9257.4,9470.0,9231.0,9436.06,9241.753875,9253.071000000002,105.71265447428708,9253.071,9376.3516,9232.43,2
9436.06,9440.79,9160.0,9232.43,9240.736875000002,9249.181,116.84603326172454,9249.181,9370.7716,9288.34,2
9232.42,9317.48,9125.0,9288.34,9237.338250000003,9245.6505,113.64226453657125,9245.6505,9375.1654,9234.03,2
9288.34,9299.28,9178.25,9234.03,9232.872250000002,9242.617499999998,113.61399104423731,9242.617499999998,9376.446,9302.75,2
9234.02,9345.0,9157.5,9302.75,9220.394750000003,9223.4705,113.53436858061981,9223.4705,9378.918,9242.62,2
9303.31,9343.82,9200.89,9242.62,9201.432625000001,9204.357,95.70310507501847,9204.357,9389.3636,9255.85,2
9242.61,9279.54,9113.0,9255.85,9190.084875,9202.324999999999,85.80636830096012,9202.325,9396.473600000001,9197.6,2
9255.85,9276.49,9160.57,9197.6,9189.997374999995,9199.7305,61.74384354735299,9199.7305,9403.601999999999,9133.72,2
9197.6,9226.15,9047.25,9133.72,9188.116999999998,9198.306,71.70749180525014,9198.306,9402.195,9154.32,2
9133.72,9186.83,9089.81,9154.32,9192.632374999997,9205.422,82.92714510942736,9205.422,9393.7636,9170.28,2
9154.31,9219.3,9121.1,9170.28,9197.602125,9208.1185,70.2790923105872,9208.1185,9388.6278,9208.99,2
9170.3,9232.27,9101.35,9208.99,9199.371125000001,9208.939999999999,52.04312888364809,9208.939999999999,9378.853200000001,9160.78,2
